quote,author
“Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.”,Steve Maraboli
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,Roy T. Bennett
“The man who moves a mountain begins by carrying away small stones.”,Confucius
"“Happiness is not the absence of problems, it's the ability to deal with them.”",Steve Maraboli
“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,Arthur C. Clarke
"“Surround Yourself with People Who Believe in Your Dreams:Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.”",Roy T. Bennett
"“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”",Steve Maraboli
"“Do what you love, love what you do, and with all your heart give yourself to it.”",Roy T. Bennett
"“Learn the rules like a pro, so you can break them like an artist.”",Pablo Picasso
"“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”",Roy T. Bennett
“Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.”,Ralph Waldo Emerson
"“If you believe very strongly in something, stand up and fight for it.”",Roy T. Bennett
“Change the way you look at things and the things you look at change.”,Wayne W. Dyer
“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,Roy T. Bennett
"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”",Roy T. Bennett
"“Maturity is when you stop complaining and making excuses, and start making changes.”",Roy T. Bennett
"“When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.”",Steve Maraboli
“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”,Roy T. Bennett
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,Roy T. Bennett
"“Never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning.”",Roy T. Bennett
"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”",Roy T. Bennett
"“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”",Roy T. Bennett
"“At the end of the day, let there be no excuses, no explanations, no regrets.”",Steve Maraboli
"“We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.”",Steve Maraboli
"“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",Roy T. Bennett
"“Whatever the mind can conceive and believe, it can achieve.”",Napoleon Hill
"“I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.”",Steve Maraboli
"“Although the world is full of suffering, it is full also of the overcoming of it.”",Helen Keller
“You must learn to let go. Release the stress. You were never in control anyway.”,Steve Maraboli
"“Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.”",Steve Maraboli
“Circumstances are the rulers of the weak; they are but the instruments of the wise.”,Samuel Lover
"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”",Roy T. Bennett
“The surest way to make your dreams come true is to live them.”,Roy T. Bennett
“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”,Roy T. Bennett
"“You cannot change anyone, but you can be the reason someone changes.”",Roy T. Bennett
"“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”",Roy T. Bennett
"“Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence.”",Eleanor Roosevelt
"“Action may not always bring happiness, but there is no happiness without action. ”",William James
"“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”",Roy T. Bennett
"“To have what you have never had, you have to do what you have never done.”",Roy T. Bennett
"“If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.”",Steve Maraboli
"“Live the Life of Your DreamsWhen you start living the life of your dreams, there will always be obstacles, doubters, mistakes and setbacks along the way. But with hard work, perseverance and self-belief there is no limit to what you can achieve.”",Roy T. Bennett
“You are the average of the five people you spend the most time with.”,Jim Rohn
"“You Are the Master of Your AttitudeYou cannot control what happens to you, but you can control the way you think about all the events. You always have a choice. You can choose to face them with a positive mental attitude.”",Roy T. Bennett
"“People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.”",George Bernard Shaw
"“Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t “should’ve” done something. You can only DO something. Renew yourself. Release that attachment. Today is a new day!”",Steve Maraboli
“How would your life be different if...You walked away from gossip and verbal defamation? Let today be the day...You speak only the good you know of other people and encourage others to do the same.”,Steve Maraboli
"“Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.”",Steve Maraboli
"“I write for the same reason I breathe - because if I didn't, I would die.”",Isaac Asimov
"“Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.”",Roy T. Bennett
"“You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.”",Eleanor Roosevelt
“Only he who attempts the absurd is capable of achieving the impossible.”,Miguel de Unamuno
"“I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!”",Steve Maraboli
“Don't wish it were easier. Wish you were better.”,Jim Rohn
"“In the end, you have to choose whether or not to trust someone.”",Sophie Kinsella
"“Great leaders create more leaders, not followers.”",Roy T. Bennett
"“If you don’t give up on something you truly believe in, you will find a way.”",Roy T. Bennett
“Turn your obstacles into opportunities and your problems into possibilities.”,Roy T. Bennett
“Don't confuse poor decision-making with destiny. Own your mistakes. It’s ok; we all make them. Learn from them so they can empower you!”,Steve Maraboli
"“The most important step a man can take. It's not the first one, is it? It's the next one. Always the next step, Dalinar.”",Brandon Sanderson
"“Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.”",Bohdi Sanders
"“Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.”",Bruce Lee
“Be the positive impact on the lives of others.”,Roy T. Bennett
“Rejection is an opportunity for your selection.”,Bernard Branson
“Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.”,Roy T. Bennett
“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”,Roy T. Bennett
“I cannot let the fear of the past color the future.”,Julie Kagawa
"“Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.”",Steve Maraboli
“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”,Roy T. Bennett
"“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”",Roy T. Bennett
“It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!”,Steve Maraboli
"“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”",Roy T. Bennett
“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”,Roy T. Bennett
“First say to yourself what you would be;and then do what you have to do.”,Epictetus
“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”,Roy T. Bennett
“What you stay focused on will grow.”,Roy T. Bennett
“Don’t wait for things to happen. Make them happen.”,Roy T. Bennett
"“Be silent and safe — silence never betrays you; Be true to your word and your work and your friend; Put least trust in him who is foremost to praise you,Nor judge of a road till it draw to the end.”",John Boyle O'Reilly
"“You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.”",Roy T. Bennett
"“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”",Roy T. Bennett
"“You were put on this earth to achieve your greatest self, to live out your purpose, and to do it courageously.”",Steve Maraboli
“Stop doing what is easy. Start doing what is right.”,Roy T. Bennett
"“Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.”",Roy T. Bennett
“7 Effective Ways to Make Others Feel Important 1. Use their name.2. Express sincere gratitude.3. Do more listening than talking.4. Talk more about them than about you.5. Be authentically interested.6. Be sincere in your praise.7. Show you care.”,Roy T. Bennett
"“Don't wait for the right moment to start, start and make each moment right.”",Roy T. Bennett
"“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”",Steve Maraboli
"“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”",Roy T. Bennett
“Good people see the good and bring out the best in other people.”,Roy T. Bennett
"“Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”",Roy T. Bennett
“Gratitude builds a bridge to abundance.”,Roy T. Bennett
“The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.”,Steve Maraboli
"“You were born to stand out, stop trying to fit in.”",Roy T. Bennett
“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”,Roy T. Bennett
“You are essentially who you create yourself to be and all that occurs in your life is the result of your own making.”,Stephen Richards
"“The reason many people in our society are miserable, sick, and highly stressed is because of an unhealthy attachment to things they have no control over.”",Steve Maraboli
“Life is short. Focus on what really matters most. You have to change your priorities over time.”,Roy T. Bennett
"“It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.”",Tyler Perry
"“Change may not always bring growth, but there is no growth without change.”",Roy T. Bennett
“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”,Roy T. Bennett
"“When you take control of your attitude, you take control of your life.”",Roy T. Bennett
“The right thing to do and the hard thing to do are usually the same.”,Steve Maraboli
“Stop doing what is easy or popular. Start doing what is right.”,Roy T. Bennett
"“I promise you nothing is as chaotic as it seems. Nothing is worth diminishing your health. Nothing is worth poisoning yourself into stress, anxiety, and fear.”",Steve Maraboli
“One of the best ways to influence people is to make them feel important.”,Roy T. Bennett
"“Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",Roy T. Bennett
"“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”",Roy T. Bennett
“Let go of something old that no longer serves you in order to make room for something new.”,Roy T. Bennett
"“My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.”",Steve Maraboli
"“One resolution I have made, and try always to keep, is this: ‘To rise above little things’.”",John Burroughs
"“To learn something new, you need to try new things and not be afraid to be wrong.”",Roy T. Bennett
"“I cannot compromise my respect for your love. You can keep your love, I will keep my respect.”",Amit Kalantri
"“It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish.”",Steve Maraboli
“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,Roy T. Bennett
“Everything is hard before it is easy”,Goethe J.W.
“Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.”,Roy T. Bennett
"“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”",Roy T. Bennett
“The discontent and frustration that you feel is entirely your own creation.”,Stephen Richards
"“Great Leaders Create More LeadersGood leaders have vision and inspire others to help them turn vision into reality. Great leaders create more leaders, not followers. Great leaders have vision, share vision, and inspire others to create their own.”",Roy T. Bennett
“Be with someone who inspires you and makes you be the best version of yourself.”,Roy T. Bennett
“The greatest step towards a life of simplicity is to learn to let go.”,Steve Maraboli
“Life teaches us the right path is rarely the easy one.”,Roy T. Bennett
"“The harder you fall, the heavier your heart; the heavier your heart, the stronger you climb; the stronger you climb, the higher your pedestal.”",Criss Jami
"“Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.”",Roy T. Bennett
“Keep in mind that the true measure of an individual is how he treats a person who can do him absolutely no good.”,Ann Landers
"“Find a purpose to serve, not a lifestyle to live.”",Criss Jami
“Failures are the stairs we climb to reach success.”,Roy T. Bennett
“No one has ever achieved greatness without dreams.”,Roy T. Bennett
“Free yourself from the complexities and drama of your life. Simplify. Look within. Within ourselves we all have the gifts and talents we need to fulfill the purpose we've been blessed with.”,Steve Maraboli
“You can have everything you want if you can put your heart and soul into everything you do.”,Roy T. Bennett
“Live boldly. Push yourself. Don't settle.”,Jojo Moyes
"“Stay strong, stay positive, and never give up.”",Roy T. Bennett
“How much you can learn when you fail determines how far you will go into achieving your goals.”,Roy T. Bennett
"“Change course, but don’t give up.”",Roy T. Bennett
"“Those with a grateful mindset tend to see the message in the mess. And even though life may knock them down, the grateful find reasons, if even small ones, to get up.”",Steve Maraboli
"“No matter how much experience you have, there’s always something new you can learn and room for improvement.”",Roy T. Bennett
“Create a vision for the life you really want and then work relentlessly towards making it a reality.”,Roy T. Bennett
“Do not let your negative thoughts have power over you because those thoughts will end up controlling your life. No one can live a positive life with a negative mind.”,Roy T. Bennett
"“Be where you are, stop over-thinking, and focus on what you are doing.”",Roy T. Bennett
"“If you have a goal, write it down. If you do not write it down, you do not have a goal - you have a wish.”",Steve Maraboli
“You are never alone. You are eternally connected with everyone.”,Amit Ray
"“If you care about something enough, you'll find a way to make it happen.”",Roy T. Bennett
“To overcome fear is the quickest way to gain your self-confidence.”,Roy T. Bennett
“One must always be prepared for riotous and endless waves of transformation.”,Elizabeth Gilbert
"“Plants are more courageous than almost all human beings: an orange tree would rather die than produce lemons, whereas instead of dying the average person would rather be someone they are not.”",Mokokoma Mokhonoana
“What helps you persevere is your resilience and commitment.”,Roy T. Bennett
"“Instead of worrying about what could go wrong, change your thoughts to what could go right. When you change the negative thought into a positive one, it eliminates the negative one.”",Roy T. Bennett
"“If you believe you can, you might. If you know you can, you will.”",Steve Maraboli 
“You make the world a better place by making daily improvements to become the best version of yourself.”,Roy T. Bennett
"“A gentleman is someone who does not what he wants to do, but what he should do.”",Haruki Murakami
“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”,Roy T. Bennett
“It's not what we do once in a while that shapes our lives. It's what we do consistently.”,Anthony Robbins
"“When you concentrate your energy purposely on the future possibility that you aspire to realize, your energy is passed on to it and makes it attracted to you with a force stronger than the one you directed towards it.”",Stephen Richards
“...yelling doesn't make a thing any more possible.”,Angie Sage
“Act the way you'd like to be and soon you'll be the way you'd like to act.”,Bob Dylan
"“You attract who you are being. When you work at being the type of person that you want to attract, you attract those kinds of people into your life.”",Roy T. Bennett
"“If you are not the hero of your own story, then you're missing the whole point of your humanity.”",Steve Maraboli
"“A young outcast will often feel that there is something wrong with himself, but as he gets older, grows more confident in who he is, he will adapt, he will begin to feel that there is something wrong with everyone else.”",Criss Jami
“Sometimes it's worth lingering on the journey for a while before getting to the destination.”,Richelle Mead
"“What the mind can conceive and believe, and the heart desire, you can achieve.”",Norman Vincent Peale
"“We have been called to heal wounds, to unite what has fallen apart, and to bring home those who have lost their way.”",St. Francis of Assisi
"“Love is as simple as the absence of self given to another. God, when invited, fills the void of any unrequited love; hence loving is how one is drawn closer to God no matter its most horrific repercussions.”",Criss Jami
"“The most intriguing people you will encounter in this life are the people who had insights about you, that you didn't know about yourself.”",Shannon L. Alder
"“Faith moves mountains, love transforms hearts.”",John Paul Warren
"“Set the standard! Stop expecting others to show you love, acceptance, commitment, & respect when you don't even show that to yourself.”",Steve Maraboli
“Sometimes letting go is simply changing the labels you place on an event. Looking at the same event with fresh eyes.”,Steve Maraboli
"“No matter what your history has been, your destiny is what you create today. What are you going to create?”",Steve Maraboli
“Don’t tell me about your god with your words. Show me about your god with your actions.”,Steve Maraboli
“You have the ability to choose your reactions.”,Steve Maraboli
“Do what you think is right. Don't let people make the decision of right or wrong for you.”,Steve Maraboli
“Times will change for the better when you change.”,Maxwell Maltz
“People will always have opinions about your decision because they're not courageous enough to take action on their opinion.”,Steve Maraboli
"“If you're offered a seat on a rocket ship, don't ask what seat! Just get on.”",Sheryl Sandberg
“Either you run the day or the day runs you..”,Jim Rohn
“Your opinion is not my reality.”,Steve Maraboli
"“Once your mindset changes, everything on the outside will change along with it.”",Steve Maraboli
“And worse I may be yet: the worst is notSo long as we can say 'This is the worst.”,William Shakespeare
"“A photograph shouldn't be just a picture, it should be a philosophy.”",Amit Kalantri
"“Because when we give too many fucks, when we choose to give a fuck about everything, then we feel as though we are perpetually entitled to feel comfortable and happy at all times, that’s when life fucks us.”",Mark Manson
"“Look around you. Everything changes. Everything on this earth is in a continuous state of evolving, refining, improving, adapting, enhancing...changing. You were not put on this earth to remain stagnant.”",Steve Maraboli
“God helps those who strut their stuff.”,Dan Sofer
“Leaders are limited by their vision rather than by their abilities.”,Roy T. Bennett
“The level of success you achieve will be in direct proportion to the depth of your commitment.”,Roy T. Bennett
"“Integrity is doing what is right and truthful, and doing as you say you would do.”",Roy T. Bennett
"“Annual income twenty pounds, annual expenditure nineteen nineteen and six , result happiness.Annual income twenty pounds, annual expenditure twenty pounds ought and six, result misery”",Charles Dickens
“Don't bother just to be better than your contemporaries or predecessors. Try to be better than yourself.”,William Faulkner
"“If you're waiting until you feel talented enough to make it, you'll never make it.”",Criss Jami
"“If an apology is followed by an excuse or a reason, it means they are going to commit same mistake again they just apologized for.”",Amit Kalantri
"“When you are living the best version of yourself, you inspire others to live the best versions of themselves.”",Steve Maraboli
"“12--Lose Battles, But Win The War: Grand StrategyGrand strategy is the art of looking beyond the present battle and calculating ahead. Focus on your ultimate goal and plot to reach it.”",Robert Greene
"“My atheism, like that of Spinoza, is true piety towards the universe and denies only gods fashioned by men in their own image, to be servants of their human interests.”",George Santayana
"“God is whispering in your heart, in the whole existence, just tune your ears.”",Amit Ray
"“Life has no limitations, except the ones you make.”",Les Brown
"“Become the leader of your life. Lead yourself to where you want to be. Breathe life back into your ambitions, your desires, your goals, your relationships.”",Steve Maraboli
"“remember that trying is eighty percent of doing something. So try and don't give up, because not giving up is the other twenty percent.”",Zain Hashmi
"“Happiness is a state of mind, a choice, a way of living; it is not something to be achieved, it is something to be experienced.”",Steve Maraboli
"“I am not a victim. No matter what I have been through, I'm still here. I have a history of victory.”",Steve Maraboli
“Just for the record: happiness is not bullshit.”,Andrew Sean Greer
"“The more you believed in yourself, the more you could trust yourself. The more you trust yourself, the less you compare yourself to others.”",Roy T. Bennett
"“Holding a grudge & harboring anger/resentment is poison to the soul. Get even with people...but not those who have hurt us, forget them, instead get even with those who have helped us.”",Steve Maraboli
"“Most people fail in life not because they aim too high and miss, but because they aim too low and hit.”",Les Brown
“If you take responsibility for yourself you will develop a hunger to accomplish your dreams.”,Les Brown
"“The more you talk about them, the more important they will feel. The more you listen to them, the more important you will make them feel.”",Roy T. Bennett
“Don't be distracted by criticism. Remember ~ the only taste of success some people have is when they take a bite out of you.”,Zig Ziglar
“Never underestimate the power you have to take your life in a new direction.”,Germany Kent
“Keep your head in the clouds and your hands on the keyboard.”,Marissa Meyer
“To be heroic is to be courageous enough to die for something; to be inspirational is to be crazy enough to live a little.”,Criss Jami
"“Until you change how you get things done, you'll never know what works best.”",Roy T. Bennett
“The spirit of the individual is determined by his dominating thought habits.”,Bruce Lee
“Your beliefs affect your choices. Your choices shape your actions. Your actions determine your results. The future you create depends upon the choices you make and the actions you take today.”,Roy T. Bennett
“Don't give up! It's not over. The universe is balanced. Every set-back bears with it the seeds of a come-back.”,Steve Maraboli
“Dedicate yourself to what gives your life true meaning and purpose; make a positive difference in someone's life.”,Roy T. Bennett
“Finding the lesson behind every adversity will be the one important thing that helps get you through it.”,Roy T. Bennett
“How would your life be different if...You didn’t allow yourself to be defined by your past? Let today be the day...You stop letting your history interfere with your destiny and awaken to the opportunity to release your greatest self.”,Steve Maraboli
“Stop blaming outside circumstances for your inside chaos.”,Steve Maraboli
“Remember that things are not always as they appear to be... Curiosity creates possibilities and opportunities.”,Roy T. Bennett
"“You make mistakes, mistakes don't make you”",Maxwell Maltz
"“If a man has his eyes bound, you can encourage him as much as you like to stare through the bandage, but he'll never see anything.”",Franz Kafka
“Being defeated is often a temporary condition. Giving up is what makes it permanent.”,Marilyn vos Savant
“What is the point of being on this Earth if you are going to be like everyone else?”,Arnold Schwarzenegger
"“Real change is difficult at the beginning, but gorgeous at the end. Change begins the moment you get the courage and step outside your comfort zone; change begins at the end of your comfort zone.”",Roy T. Bennett
“When was the last time you woke up and realized that today could be the best day of your life?”,Steve Maraboli
“The greatest revenge is massive success.”,Les Brown
“You have to lift a person up before you can really put them in their place.”,Criss Jami
“Live out of your imagination instead of out of your memory.”,Les Brown
“الأحلام التي لا تدفعك للتحدث عنها بشغف هي أحلام ناقصة”,ياسر حارب
“Sometimes we forget about our own advantages because we focus on what we don't have. Just because you have to work a little harder at something that seems easier to others doesn't mean you're without your own talents.”,Chris Colfer
“Never say anything about yourself you don't want to come true”,Brian Tracy
“What others think about you is none of your business.”,Jack Canfield
“The most powerful magic of all is choice.”,Sara Raasch
“Your life begins to change the day you take responsibility for it.”,Steve Maraboli
“We are exactly what our history made us to be.”,Stephen Richards
“It is difficult to make the right choice if you fear choosing wrongly.”,Roy T. Bennett
“Never let fear hold you captive. Never let self-doubt hold you captive. Never let frustration hold you captive.”,Roy T. Bennett
"“Accept yourself, your strengths, your weaknesses, your truths, and know what tools you have to fulfill your purpose.”",Steve Maraboli
“Goals are the road maps that guide you to your destination. Cultivate the habit of setting clearly-defined written goals; they are the road maps that guide you to your destination.”,Roy T. Bennett
“It’s a lack of clarity that creates chaos and frustration. Those emotions are poison to any living goal.”,Steve Maraboli
"“Seize the wind,"" I whispered. ""Don't become the kite that never flies.”",Elizabeth Lim
“Stop comparing yourself to others. Always strive to improve yourself to become better today than you were yesterday to serve those around you and the world.”,Roy T. Bennett
“Focus on making choices to lead your life that aligns with your core values in the most purposeful way possible.”,Roy T. Bennett
“Don't let the tall weeds cast a shadow on the beautiful flowers in your garden.”,Steve Maraboli
"“For your past, for your flaws, and ultimately for your stress; I judge no one whom I’ve met along the way because in a sense we were all wounded in our own ways.”",Forrest Curran
“Someone's opinion of you does not have to become your reality.”,Les Brown
"“Simplify your life. You don't grow spiritual, you shrink spiritual.”",Steve Maraboli
"“Align yourself with people that you can learn from, people who want more out of life, people who are stretching and searching and seeking some higher ground in life.”",Les Brown
"“Shoot for the moon, because even if you miss you miss, you'll land in the stars.”",Les Brown
"“Your own setbacks aren’t what they first appear to be; rather than viewing them as failures, view them as learning opportunities that are the building blocks for future preparation.”",Steve  Pemberton
"“Make the choice to embrace this day. Do not let your TODAY be stolen by the ghost of yesterday or the ""To-Do"" list of tomorrow! It’s inspiring to see all the wonderfully amazing things that can happen in a day in which you participate.”",Steve Maraboli
"“As I naturally go through a full range of emotions in my life, I mustn’t feel ashamed for feeling lost, for it is honest and human to feel such.”",Forrest Curran
"“Just because Fate doesn't deal you the right cards, it doesn't mean you should give up. It just means you have to play the cards you get to their maximum potential.”",Les Brown
"“People in general would rather die than forgive. It's that hard. If God said in plain language. ""I'm giving you a choice, forgive or die,"" a lot of people would go ahead and order their coffin.”",Sue Monk Kidd
"“One day in my shoes and a day for me in your shoes, the beauty of travel lies in the ease and willingness to be more open.”",Forrest Curran
"“Whether you know or not, you are the infinite potential of love, peace and joy”",Amit Ray
"“You don't have to get it perfect, you just have to get it going. Babies don't walk the first time they try, but eventually they get it right”",Jack Canfield
“You can lose your MONEY. You can lose your FRIENDS. You can lose your JOB and you can lose your MARRIAGE...and still recover...as long as there is HOPE. Never lose HOPE.”,John Paul Warren
"“Orang yang tidak pernah dibakar panas mentari, mustahil menghargai rimbun berteduh - peribahasa Turki.”",Hasrizal Abdul Jamil
“You cannot continue on the same path and arrive at a different destination. Make the choice to have your actions reflect your goals.”,Steve Maraboli
"“Be happy with who you are and what you do, and you can do anything you want.”",Steve Maraboli
"“It's up to you today to start making healthy choices. Not choices that are just healthy for your body, but healthy for your mind.”",Steve Maraboli
“Do not let another day go by where your dedication to other people's opinions is greater than your dedication to your own emotions!”,Steve Maraboli
"“Confidence is like a dragon where, for every head cut off, two more heads grow back.”",Criss Jami
“People are successful because they think and act like successful people.”,Roy T. Bennett
"“Always Remember to take your Vitamins: Take your Vitamin A for ACTION, Vitamin B for Belief, Vitamin C for Confidence ,Vitamin D for Discipline, Vitamin E for Enthusiasm!!”",Pablo
"“Not all dreamers are winners, but all winners are dreamers. Your dream is the key to your future. The Bible says that, ""without a vision (dream), a people perish."" You need a dream, if you're going to succeed in anything you do.”",Mark Gorman
"“Everything is within your power,and your power is within you.”",Janice Trachtman
"“The size of your dreams must always exceed your current capacity to achieve them. If your dreams do not scare you, they are not big enough.”",Ellen Johnson Sirleaf
“A birth-date is a reminder to celebrate the life as well as to update the life.”,Amit Kalantri
"“At school, new ideas are thrust at you every day. Out in the world, you'll have to find your inner motivation to seek for new ideas on your own.”",Bill Watterson
“Do more listening than talking; talk more about them than about you.”,Roy T. Bennett
“One word of encouragement can be enough to spark someone’s motivation to continue with a difficult challenge.”,Roy T. Bennett
"“With a hint of good judgment, to fear nothing, not failure or suffering or even death, indicates that you value life the most. You live to the extreme; you push limits; you spend your time building legacies. Those do not die.”",Criss Jami
"“Despite everything, it's still you.”",Toby Fox
“Forgive yourself for your faults and your mistakes and move on.”,Les Brown
“Perfection does not exist -- you can always do better and you can always grow.”,Les Brown
“The difference between greed and ambition is a greedy person desires things he isn't prepared to work for.”,Habeeb Akande
“The power to change your life lies in the simplest of steps.”,Steve Maraboli
"“When you are lonely for a while don't get restless, if you had born alone, you are going to die alone then for sometime you can certainly live alone.”",Amit Kalantri
"“We can’t help the way we’re born. We can’t help what we are, only what life we choose to make for ourselves.”",Leigh Bardugo
“Success is a poor teacher”,Robert Kiyosaki
